timestamp,e_distance,e_theta,v,w
1722328175.595250896,0.681832,-0.549479,0.299999,-0.0791342
1722328175.624536252,0.672904,-0.547722,0.3,-0.106266
1722328175.653825026,0.664272,-0.544757,0.3,-0.101846
1722328175.683067473,0.655707,-0.540651,0.3,-0.0935262
1722328175.711552110,0.647145,-0.536472,0.3,-0.0581064
1722328175.740838927,0.638566,-0.53263,0.3,-0.0591579
1722328175.770113286,0.629947,-0.530293,0.3,-0.0637998
1722328175.802854447,0.621024,-0.527989,0.3,-0.076353
1722328175.832701892,0.611507,-0.525338,0.299999,-0.0303402
1722328175.861421174,0.602559,-0.522507,0.3,-0.0593519
1722328175.890248631,0.593918,-0.52157,0.3,-0.095845
1722328175.919001767,0.585283,-0.520182,0.3,-0.120817
1722328175.946872302,0.576925,-0.517327,0.3,-0.0970444
1722328175.975763845,0.568555,-0.513354,0.3,-0.110312
1722328176.3501652,0.559877,-0.509963,0.3,-0.113827
1722328176.33078865,0.551489,-0.506311,0.3,-0.136428
1722328176.63604944,0.542802,-0.502323,0.3,-0.130537
1722328176.92613539,0.533558,-0.497003,0.299999,-0.0774265
1722328176.121469173,0.524926,-0.492081,0.3,-0.0950801
1722328176.149080327,0.51625,-0.489031,0.3,-0.11907
1722328176.177540389,0.508186,-0.485622,0.3,-0.153008
1722328176.206178379,0.499541,-0.481021,0.299999,-0.105042
1722328176.234913697,0.491226,-0.475598,0.3,-0.109454
1722328176.263458965,0.482596,-0.471401,0.3,-0.126859
1722328176.293593864,0.473965,-0.467234,0.3,-0.149447
1722328176.322215030,0.465081,-0.462437,0.3,-0.150211
1722328176.353139678,0.456967,-0.457941,0.299999,-0.127368
1722328176.382543333,0.448334,-0.454568,0.299999,-0.135098
1722328176.411940743,0.440121,-0.45296,0.3,-0.198179
1722328176.440400801,0.432296,-0.451815,0.3,-0.251885
1722328176.469650830,0.424618,-0.449646,0.299999,-0.244272
1722328176.498860982,0.417025,-0.445679,0.299999,-0.266653
